Topic,Count,Name,Representation,Representative_Docs
22,45,22_not_antichrist_subversive_signatures,"['not', 'antichrist', 'subversive', 'signatures', 'babylonian', 'serpent', 'brethren', 'declaration', 'founding', 'independence']","['There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.', 'There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.', 'There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.']"
23,43,23_her_omar_she_ilhan,"['her', 'omar', 'she', 'ilhan', 'somalia', 'complain', 'voted', 'from', 'came', 'hates']","[""Send her back, Ilhan Omar go back to Somalia were you belong. America don't want you here. President Trump strip her citizenship and deport her. Shame on you Omar you are snake in this country."", ""Send her back, Ilhan Omar go back to Somalia were you belong. America don't want you here. President Trump strip her citizenship and deport her. Shame on you Omar you are snake in this country."", ""Send her back, Ilhan Omar go back to Somalia were you belong. America don't want you here. President Trump strip her citizenship and deport her. Shame on you Omar you are snake in this country.""]"
24,43,24_jihadistjoe_honour_http_whatsoever,"['jihadistjoe', 'honour', 'http', 'whatsoever', 'rt', 'unarmed', 'sub', 'slaughter', 'military', 'men']","['RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…', 'RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…', 'RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…']"
25,38,25_zionist_zionists_financially_lunatic,"['zionist', 'zionists', 'financially', 'lunatic', 'scumbags', 'doing', 'apartheid', 'goy', 'israel', 'israeli']","[""I'm urging everyone to support Brendon in his efforts to expose Israel to the world. URL He is having problems financially cz he is on the run from the Zionist mafia. Please help the guy financially & help spread his message before Talmud takes over the world. Israel is stealing tech & jobs from the US & handing it over to Russia , China & Iran . All high-tech companies will move to Israel.Belt and Road Initiative is United State's way back to corn."", ""I'm urging everyone to support Brendon in his efforts to expose Israel to the world. URL He is having problems financially cz he is on the run from the Zionist mafia. Please help the guy financially & help spread his message before Talmud takes over the world. Israel is stealing tech & jobs from the US & handing it over to Russia , China & Iran . All high-tech companies will move to Israel.Belt and Road Initiative is United State's way back to corn."", ""I'm urging everyone to support Brendon in his efforts to expose Israel to the world. URL He is having problems financially cz he is on the run from the Zionist mafia. Please help the guy financially & help spread his message before Talmud takes over the world. Israel is stealing tech & jobs from the US & handing it over to Russia , China & Iran . All high-tech companies will move to Israel.Belt and Road Initiative is United State's way back to corn.""]"
26,36,26_russian_russia_ussr_diplomats,"['russian', 'russia', 'ussr', 'diplomats', 'soviet', 'pregnant', 'fking', 'whiny', 'sanghi', 'surrreee']","['What about the flow of Russian pregnant women coming here for their anchor babies. Oh yeah forgot ,Amerikkka will soon be the Soviet States."" Whut chu gonna do wit yo rifle then bubba"",they WILL pry it from your cold dead hands. In a hurry.', 'We were attacked by Russia. We should strike back by ejecting all Russian diplomats, freeze all Russian bank accounts, withdraw our diplomats from Russia and eject all the pregnant Russian women in Florida that are coming here to give birth.', 'We were attacked by Russia. We should strike back by ejecting all Russian diplomats, freeze all Russian bank accounts, withdraw our diplomats from Russia and eject all the pregnant Russian women in Florida that are coming here to give birth.']"
27,36,27_indians_streets_india_river,"['indians', 'streets', 'india', 'river', 'shit', 'beastly', 'scammers', 'throw', 'freaks', 'into']","[""we all know Indians are fucking stupid ... they killing their own country not only with the gangi river but letting their so call 'holy cows' shit in streets ... they got a rat temple smfh thats dirty"", ""we all know Indians are fucking stupid ... they killing their own country not only with the gangi river but letting their so call 'holy cows' shit in streets ... they got a rat temple smfh thats dirty"", ""we all know Indians are fucking stupid ... they killing their own country not only with the gangi river but letting their so call 'holy cows' shit in streets ... they got a rat temple smfh thats dirty""]"
28,35,28_iran_irans_evil_time,"['iran', 'irans', 'evil', 'time', 'navy', 'allow', 'allayh', 'honor', 'weapons', 'lines']","[""Iran brought it on themselves. To bad so sad. Maybe you Jihadist fools should wake the hell up. You'll never run the world and the world will not allow you to threaten Christians. No sympathy, starve them into revolution. Iran's people will take care of it. Give them time"", ""Iran brought it on themselves. To bad so sad. Maybe you Jihadist fools should wake the hell up. You'll never run the world and the world will not allow you to threaten Christians. No sympathy, starve them into revolution. Iran's people will take care of it. Give them time"", ""Iran brought it on themselves. To bad so sad. Maybe you Jihadist fools should wake the hell up. You'll never run the world and the world will not allow you to threaten Christians. No sympathy, starve them into revolution. Iran's people will take care of it. Give them time""]"
29,34,29_confronts_finish_hitler_street,"['confronts', 'finish', 'hitler', 'street', 'didnt', 'ur', 'nigger', 'jew', 'then', 'can']","[""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.""]"
30,34,30_canadian_canada_amerikkka_crazy,"['canadian', 'canada', 'amerikkka', 'crazy', 'his', 'crumpets', 'toothbrush', 'tough', 'driving', 'ejaculating']","[""I'm Canadian, so bring it the fuck on. My countries perfect unlike your backwards assed driving, toothbrush hating, inbred, rapist, soccer ejaculating cesspool of humanity country. Go jerk off to the queen while eating crumpets, euro-fag."", ""I'm Canadian, so bring it the fuck on. My countries perfect unlike your backwards assed driving, toothbrush hating, inbred, rapist, soccer ejaculating cesspool of humanity country. Go jerk off to the queen while eating crumpets, euro-fag."", ""I'm Canadian, so bring it the fuck on. My countries perfect unlike your backwards assed driving, toothbrush hating, inbred, rapist, soccer ejaculating cesspool of humanity country. Go jerk off to the queen while eating crumpets, euro-fag.""]"
31,33,31_germany_germans_nazis_lets,"['germany', 'germans', 'nazis', 'lets', 'would', 'book', 'but', 'lamp', 'twice', 'conflict']","['Fuck Germany clamoring for the high ground as we remember that your grandparents made lamp shades & book covers from Jewish flesh and dragged the entire world into conflict not once but twice - burn in hell.', 'Fuck Germany clamoring for the high ground as we remember that your grandparents made lamp shades & book covers from Jewish flesh and dragged the entire world into conflict not once but twice - burn in hell.', 'Fuck Germany clamoring for the high ground as we remember that your grandparents made lamp shades & book covers from Jewish flesh and dragged the entire world into conflict not once but twice - burn in hell.']"
32,33,32_isis_daesh_created_army,"['isis', 'daesh', 'created', 'army', 'powers', 'fly', 'infidels', 'city', 'guys', 'hashtagnuclear']","['Nigga I love Joyners music but fuckk ISIS & fuck the american army too, u guys aint worth shit and dont have the balls to battle on field xD HshtagTANK HashtagNuclear HashtagAIRPLANES #fortheinnocent #childrenKillers', ""Daesh was created by fanatics in Iraq but they would have been nothing if western powers hadn't supplied them for years. They built up Daesh and created their own evil enemy. The filthy Israeli donkeys were even caught training Daesh members and healing them in their hospitals. John McCain of the US even flew to Syria and met with literal Daesh commanders. There's even a guy with a shaved head on the background that looks identical to Baghdadi. Daesh is a satanic army created by western powers. Don't pretend it's some oppressed uprising that filled a power vacuum"", ""Daesh was created by fanatics in Iraq but they would have been nothing if western powers hadn't supplied them for years. They built up Daesh and created their own evil enemy. The filthy Israeli donkeys were even caught training Daesh members and healing them in their hospitals. John McCain of the US even flew to Syria and met with literal Daesh commanders. There's even a guy with a shaved head on the background that looks identical to Baghdadi. Daesh is a satanic army created by western powers. Don't pretend it's some oppressed uprising that filled a power vacuum""]"
33,33,33_yet_israel_israelis_real,"['yet', 'israel', 'israelis', 'real', 'history', 'holy', 'zionocracy', 'gegan1987', 'exists', 'israels']","['@Zionocracy @gegan1987 Israels barbaric 71 yr history is filled with disgusting society values. Yet they continue to exist on the holy lands. Only once Israel no longer exists, then the Middle East will know peace.', '@Zionocracy @gegan1987 Israels barbaric 71 yr history is filled with disgusting society values. Yet they continue to exist on the holy lands. Only once Israel no longer exists, then the Middle East will know peace.', '@Zionocracy @gegan1987 Israels barbaric 71 yr history is filled with disgusting society values. Yet they continue to exist on the holy lands. Only once Israel no longer exists, then the Middle East will know peace.']"
34,32,34_mexico_thru_border_as,"['mexico', 'thru', 'border', 'as', 'disease', 'cartels', 'such', 'freebies', 'fuckinv', 'simple']","[""The whole point is Mexico is letting people travel thru their land and creating this crisis. Now the responsibility also is on Mexico. It is very simple. They such a pussy of a country that they can't defeat the drug lords or stop this invasion of illegals that are unarmed. Mexico comes across as weak. Can't protect their own people. Dirty amd corrupt just like Porta Rico!"", 'It better. But what would be better for all of Mexico and the western hemisphere is if they straight up just went to war with the Cartels. Killed every last one.  Because if they could MAKE MEXICO SAFE AGAIN or Make Mexico Righteous Again that would help more than just telling a corrupt government such as Mexico to help with illegal immigrants.. I can see mexico officials just arresting people and killing them secretly.', 'It better. But what would be better for all of Mexico and the western hemisphere is if they straight up just went to war with the Cartels. Killed every last one.  Because if they could MAKE MEXICO SAFE AGAIN or Make Mexico Righteous Again that would help more than just telling a corrupt government such as Mexico to help with illegal immigrants.. I can see mexico officials just arresting people and killing them secretly.']"
35,31,35_europe_team_poland_european,"['europe', 'team', 'poland', 'european', 'escape', 'netherlands', 'maga', 'authoritarian', 'wimps', 'wantjust']","[""Poland out of the European Union,now. You people are a joke when compared to sane,decent people Pray to your fairies and hate on 'sinners' all you want,just do it while you're OUT OF an union that stands for equal respect among its citizens.EU is acting like a bunch of wimps for tolerating an authoritarian christian-caliphate like Poland"", ""Poland out of the European Union,now. You people are a joke when compared to sane,decent people Pray to your fairies and hate on 'sinners' all you want,just do it while you're OUT OF an union that stands for equal respect among its citizens.EU is acting like a bunch of wimps for tolerating an authoritarian christian-caliphate like Poland"", ""Poland out of the European Union,now. You people are a joke when compared to sane,decent people Pray to your fairies and hate on 'sinners' all you want,just do it while you're OUT OF an union that stands for equal respect among its citizens.EU is acting like a bunch of wimps for tolerating an authoritarian christian-caliphate like Poland""]"
36,31,36_north_korea_bomb_then,"['north', 'korea', 'bomb', 'then', 'moveeven', 'miserythis', 'jung', 'jdam', 'initiating', 'simpler']","[""Punching a JDAM into north Korea is way more simpler, quick and practical....just obliterate from the history....i don't know why no one is initiating the move.....even the North Koreans want the outside world to bomb them and put 'em off off their misery...this scum Kim Jung un needs to go...."", ""Punching a JDAM into north Korea is way more simpler, quick and practical....just obliterate from the history....i don't know why no one is initiating the move.....even the North Koreans want the outside world to bomb them and put 'em off off their misery...this scum Kim Jung un needs to go...."", ""Punching a JDAM into north Korea is way more simpler, quick and practical....just obliterate from the history....i don't know why no one is initiating the move.....even the North Koreans want the outside world to bomb them and put 'em off off their misery...this scum Kim Jung un needs to go....""]"
37,30,37_iran_deal_bomb_fck,"['iran', 'deal', 'bomb', 'fck', 'em', 'already', 'traitor', 'brothers', 'starve', 'attacking']","[""beast kd Iran won't do shit, we will not just abuse you but make it look easy. Like i said if Iran touches Israel they have enough nukes to defend themselves. And so many countries will bomb you. It will be like a game, we'll all take it in turns to launch one."", ""First bomb ships and let 'em deal with the Iran brothers Give 'em guns step back watch 'em kill each other Never trust a white man named Jerome that's what Huey said Two shots in the dark now Huey's dead I got love for my autist brothers but we can never go nowhere Unless we share with each other We gotta start makin' changes"", ""First bomb ships and let 'em deal with the Iran brothers Give 'em guns step back watch 'em kill each other Never trust a white man named Jerome that's what Huey said Two shots in the dark now Huey's dead I got love for my autist brothers but we can never go nowhere Unless we share with each other We gotta start makin' changes""]"
38,29,38_israel_fuck_isreal_scumbags,"['israel', 'fuck', 'isreal', 'scumbags', 'ass', 'aha', 'member', 'crushes', 'planks', 'damn']","['FUCK ISRAEL', 'Aha! You forgot one of their most important planks!! Fuck Israel. Because the actions of the IDF mean that every member of that country deserves death. They are so damn stupid', 'Aha! You forgot one of their most important planks!! Fuck Israel. Because the actions of the IDF mean that every member of that country deserves death. They are so damn stupid']"
39,29,39_hellhole_americunt_personally_body,"['hellhole', 'americunt', 'personally', 'body', 'canada', 'send', 'americunts', 'bag', 'syria', 'them']","['From Canada.  You Americunts should get out of the Middle East. I personally hope each and every Americunt is sent home in. A body bag.', 'From Canada.  You Americunts should get out of the Middle East. I personally hope each and every Americunt is sent home in. A body bag.', 'From Canada.  You Americunts should get out of the Middle East. I personally hope each and every Americunt is sent home in. A body bag.']"
